Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,8,1,1,1,15,7,2,4,1,1,3,1,1,1,3,48828,2,3,2
2,6,1,1,2,2,4,2,1,4,4,2,3,2,4,2,9012,2,3,2
1,3,1,1,2,2,6,2,4,1,1,3,1,2,1,3,79552,1,1,3
1,19,1,0,1,7,3,2,4,1,1,3,1,1,1,1,104269,1,1,3
1,13,2,1,2,2,2,1,3,1,1,3,1,2,5,3,6360,3,3,2
1,2,1,1,2,9,8,1,3,1,1,1,1,2,2,3,83000,1,2,2
1,2,1,0,1,2,5,2,4,1,1,2,1,2,2,3,72000,1,2,2
1,8,2,0,2,2,2,4,1,1,1,8,1,1,1,2,12312,2,3,2
1,2,1,1,2,5,7,2,3,1,1,1,1,2,2,2,53000,1,2,2
1,2,1,1,1,2,7,1,4,4,2,1,2,2,2,3,85000,1,2,2
2,16,1,1,2,2,3,1,4,1,1,8,1,2,1,3,30000,3,3,2
1,6,1,1,1,2,6,1,2,4,1,2,3,1,4,1,18780,2,3,2
1,2,1,1,2,15,3,1,1,1,1,3,1,2,2,3,75000,1,2,2
1,10,1,1,2,10,2,1,2,1,1,3,1,2,1,3,52321,1,1,1
1,1,1,1,2,15,5,2,2,1,1,2,1,2,1,3,79175,1,1,1
1,2,1,1,2,2,3,2,3,1,1,1,1,2,2,3,72000,1,2,2
1,19,1,1,2,2,5,2,3,1,1,8,1,1,1,3,1000000,1,1,3
2,1,1,1,3,15,4,1,2,1,1,2,1,2,1,2,47922,1,1,1
1,2,1,1,1,15,7,2,4,4,1,6,1,1,2,1,120000,1,2,2
2,2,1,1,2,2,7,2,2,1,1,3,1,2,2,2,107000,1,2,2
1,2,1,0,1,6,7,2,2,1,1,1,1,2,2,3,110000,1,2,2
1,5,2,0,1,2,6,4,1,1,1,4,1,2,3,3,35988,1,1,1
1,2,1,1,1,4,4,1,4,1,1,8,1,2,2,3,85000,1,2,2
